Collab_ID,Brand_ID,Creator_ID,Campaign_Start,Campaign_End,Budget_Spent,Impressions,Clicks,CTR,Conversions,CVR,is_success
CB_00040,BR_00057,CR_YT_072,2025-04-27,2025-05-27,2600000,97872,1047,1.07,8,0.85,N
CB_00041,BR_00038,CR_YT_064,2025-07-01,2025-08-30,1300000,6334,65,1.04,0,1.46,N
CB_00042,BR_00057,CR_YT_184,2024-07-01,2024-07-31,2400000,19314,604,3.13,12,2.05,Y
CB_00043,BR_00007,CR_TK_129,2025-10-12,2026-01-10,3000000,38223,1754,4.59,32,1.87,N
CB_00044,BR_00040,CR_YT_228,2024-02-23,2024-05-23,1100000,24235,986,4.07,36,3.75,Y
CB_00045,BR_00048,CR_TK_166,2024-09-01,2024-10-01,1200000,16582,822,4.96,13,1.68,Y
CB_00046,BR_00025,CR_TK_049,2024-03-05,2024-04-04,900000,1050,45,4.34,1,2.82,Y
CB_00047,BR_00093,CR_YT_086,2024-02-15,2024-04-15,49600000,46422,1063,2.29,28,2.69,Y
CB_00048,BR_00080,CR_YT_107,2025-07-08,2025-09-06,32600000,4289,79,1.86,1,1.75,N
CB_00049,BR_00023,CR_YT_008,2025-02-15,2025-03-17,1100000,23603,443,1.88,12,2.8,Y
CB_00050,BR_00036,CR_TK_033,2025-09-30,2025-10-30,700000,94431,2492,2.64,79,3.19,Y
CB_00051,BR_00064,CR_YT_053,2025-07-03,2025-10-01,9800000,455400,15483,3.4,608,3.93,Y
CB_00052,BR_00090,CR_YT_199,2024-05-16,2024-06-15,10800000,2120708,79526,3.75,3117,3.92,Y
CB_00053,BR_00086,CR_YT_247,2024-03-10,2024-04-09,7000000,377902,10581,2.8,242,2.29,N
CB_00054,BR_00095,CR_YT_120,2025-05-30,2025-08-28,71500000,33124,357,1.08,11,3.16,Y
CB_00055,BR_00016,CR_YT_159,2024-08-30,2024-10-29,1400000,3531878,43795,1.24,792,1.81,Y
CB_00057,BR_00057,CR_TK_079,2024-12-02,2025-01-01,1400000,34124,1378,4.04,31,2.32,Y
CB_00058,BR_00054,CR_TK_032,2024-10-22,2024-11-05,800000,20125,476,2.37,5,1.22,N
CB_00059,BR_00007,CR_TK_165,2024-09-11,2024-10-11,2900000,101250,2318,2.29,47,2.05,Y
CB_00060,BR_00001,CR_YT_034,2025-05-18,2025-06-01,1500000,27945,1388,4.97,52,3.78,Y
CB_00061,BR_00017,CR_YT_047,2024-06-26,2024-09-24,500000,186255,3389,1.82,77,2.28,Y
CB_00062,BR_00055,CR_TK_072,2025-04-23,2025-05-23,2000000,2035480,54957,2.7,1439,2.62,Y
CB_00063,BR_00039,CR_YT_147,2025-08-13,2025-10-12,3000000,18168,808,4.45,17,2.18,Y
CB_00064,BR_00047,CR_YT_204,2025-01-21,2025-02-20,3500000,2731,93,3.44,1,2.02,N
CB_00065,BR_00020,CR_TK_120,2025-05-08,2025-05-22,2500000,3277,43,1.33,1,3.67,Y
CB_00066,BR_00039,CR_TK_005,2025-07-04,2025-08-03,2100000,2816917,70986,2.52,1114,1.57,Y
CB_00067,BR_00037,CR_YT_193,2025-07-29,2025-10-27,3200000,19924,769,3.86,9,1.19,N
CB_00068,BR_00025,CR_YT_003,2024-01-14,2024-04-13,800000,87711,2298,2.62,45,1.96,Y
CB_00069,BR_00051,CR_TK_197,2025-01-17,2025-03-18,2600000,274785,9205,3.35,177,1.93,Y
CB_00071,BR_00099,CR_TK_168,2024-12-22,2025-03-22,81300000,56194,1387,2.47,9,0.7,N
CB_00072,BR_00050,CR_TK_175,2025-03-10,2025-04-09,1200000,3804,161,4.25,4,2.71,Y
CB_00073,BR_00087,CR_YT_015,2025-10-22,2025-11-21,14500000,213182,7930,3.72,110,1.39,Y
CB_00074,BR_00078,CR_YT_297,2024-06-14,2024-06-28,9100000,4046,155,3.85,2,1.85,N
CB_00075,BR_00091,CR_TK_001,2024-03-23,2024-06-21,83500000,25620,425,1.66,8,1.99,Y
CB_00076,BR_00089,CR_YT_155,2025-05-27,2025-08-25,20700000,2920,65,2.23,1,1.94,Y
CB_00077,BR_00094,CR_TK_146,2024-04-01,2024-04-15,79800000,102356,2436,2.38,24,1.0,N
CB_00078,BR_00096,CR_YT_108,2025-02-11,2025-03-13,15800000,12814,380,2.97,3,0.84,N
CB_00079,BR_00100,CR_TK_057,2025-03-03,2025-06-01,46500000,2515,68,2.72,0,1.12,N
CB_00080,BR_00024,CR_TK_061,2024-05-17,2024-06-16,1300000,675,9,1.44,0,2.48,N
CB_00081,BR_00028,CR_YT_096,2024-07-24,2024-08-07,3200000,33075,585,1.77,23,3.94,Y
CB_00082,BR_00053,CR_YT_226,2025-10-03,2026-01-01,1200000,37851,499,1.32,3,0.8,N
CB_00083,BR_00016,CR_YT_142,2024-03-06,2024-04-05,500000,117629,3458,2.94,109,3.16,Y
CB_00084,BR_00002,CR_YT_032,2024-09-29,2024-10-13,2700000,651417,7621,1.17,94,1.24,N
CB_00085,BR_00001,CR_YT_193,2025-09-09,2025-12-08,1500000,30537,1444,4.73,31,2.16,Y
CB_00086,BR_00044,CR_TK_010,2025-03-15,2025-04-14,2000000,2960413,148020,5.0,4973,3.36,Y
CB_00087,BR_00047,CR_TK_041,2025-02-12,2025-04-13,4200000,105702,4746,4.49,157,3.32,Y
CB_00088,BR_00001,CR_YT_234,2025-02-15,2025-03-17,400000,2236624,69782,3.12,2672,3.83,Y
CB_00089,BR_00097,CR_TK_118,2024-09-11,2024-10-11,26500000,17543,785,4.48,18,2.3,N
CB_00090,BR_00085,CR_YT_097,2024-01-04,2024-02-03,7900000,835397,9857,1.18,328,3.33,Y
CB_00091,BR_00042,CR_TK_048,2025-03-30,2025-04-29,3600000,922,31,3.45,0,0.78,N
CB_00092,BR_00055,CR_TK_181,2025-05-02,2025-05-16,4200000,19711,350,1.78,3,1.0,Y
CB_00093,BR_00067,CR_TK_149,2025-08-08,2025-11-06,4600000,283706,3830,1.35,130,3.41,Y
CB_00094,BR_00071,CR_TK_148,2025-04-23,2025-05-23,5600000,126145,3696,2.93,88,2.39,Y
CB_00095,BR_00032,CR_YT_109,2024-06-23,2024-07-07,600000,380551,4262,1.12,159,3.75,Y
CB_00096,BR_00042,CR_TK_163,2025-01-27,2025-02-26,2100000,1999,58,2.91,2,3.64,Y
CB_00097,BR_00016,CR_TK_041,2024-05-19,2024-08-17,1200000,70367,2941,4.18,48,1.66,Y
CB_00098,BR_00029,CR_TK_178,2025-08-12,2025-11-10,400000,2386,110,4.64,3,3.1,Y
CB_00099,BR_00093,CR_YT_196,2025-10-31,2026-01-29,76300000,26880,518,1.93,7,1.41,N
CB_00100,BR_00038,CR_YT_045,2024-04-24,2024-05-08,1800000,1737923,30413,1.75,1155,3.8,Y
CB_00101,BR_00074,CR_YT_189,2024-05-10,2024-06-09,11500000,186000,1878,1.01,13,0.72,N
CB_00102,BR_00069,CR_YT_098,2025-02-01,2025-04-02,10500000,49731,1849,3.72,60,3.29,Y
CB_00103,BR_00067,CR_TK_040,2025-09-08,2025-12-07,6900000,5902,185,3.15,3,2.11,Y
CB_00104,BR_00019,CR_TK_118,2024-10-30,2024-11-29,2700000,14049,479,3.41,4,1.01,N
CB_00105,BR_00086,CR_TK_135,2024-02-05,2024-05-05,13100000,64294,2411,3.75,35,1.46,N
CB_00106,BR_00091,CR_YT_294,2025-05-04,2025-06-03,55600000,30237,758,2.51,29,3.93,Y
CB_00107,BR_00043,CR_YT_079,2024-08-03,2024-09-02,1900000,2787990,124344,4.46,1405,1.13,Y
CB_00108,BR_00063,CR_TK_073,2025-02-05,2025-03-07,20500000,3036,133,4.39,5,3.97,Y
CB_00109,BR_00071,CR_YT_201,2024-12-11,2025-02-09,4600000,911164,36719,4.03,686,1.87,Y
CB_00110,BR_00068,CR_TK_073,2024-10-16,2024-11-15,11700000,1789,79,4.43,1,1.88,N
CB_00111,BR_00017,CR_YT_166,2025-08-17,2025-08-31,600000,50396,1426,2.83,15,1.07,N
CB_00113,BR_00084,CR_YT_005,2025-01-05,2025-04-05,6300000,467613,20715,4.43,377,1.82,Y
CB_00114,BR_00055,CR_TK_048,2024-06-21,2024-07-05,1700000,1530,26,1.72,0,0.68,N
CB_00115,BR_00066,CR_TK_033,2024-12-12,2025-03-12,8600000,43116,1677,3.89,22,1.36,N
CB_00116,BR_00016,CR_YT_124,2025-02-10,2025-04-11,800000,6649,112,1.69,3,3.11,Y
CB_00117,BR_00100,CR_TK_055,2024-04-01,2024-05-31,74200000,929,19,2.1,0,2.79,N
CB_00118,BR_00048,CR_YT_006,2024-05-02,2024-05-16,1200000,142581,5246,3.68,119,2.28,Y
CB_00119,BR_00003,CR_TK_001,2025-08-09,2025-11-07,1700000,22152,305,1.38,7,2.58,Y
CB_00120,BR_00050,CR_YT_248,2025-10-22,2025-12-21,1300000,1112326,25583,2.3,767,3.0,Y
CB_00121,BR_00069,CR_YT_095,2025-02-19,2025-03-05,11700000,558534,23067,4.13,544,2.36,Y
CB_00122,BR_00009,CR_YT_266,2025-08-21,2025-11-19,1000000,7059,105,1.5,3,3.14,Y
CB_00123,BR_00085,CR_TK_160,2024-04-30,2024-05-30,26900000,5265,53,1.02,1,2.07,N
CB_00124,BR_00041,CR_YT_063,2024-02-10,2024-03-11,2700000,1955,26,1.35,0,1.4,N
CB_00125,BR_00097,CR_YT_018,2024-03-27,2024-04-10,28300000,488603,15537,3.18,307,1.98,N
CB_00126,BR_00085,CR_YT_001,2024-09-11,2024-10-11,8500000,22036,1018,4.62,15,1.53,N
CB_00127,BR_00069,CR_YT_228,2024-05-23,2024-08-21,13300000,15276,708,4.64,28,3.99,Y
CB_00128,BR_00078,CR_YT_276,2025-06-06,2025-07-06,20600000,107511,1268,1.18,7,0.63,N
CB_00129,BR_00019,CR_YT_154,2024-08-08,2024-09-07,3000000,22408,546,2.44,5,0.95,N
CB_00130,BR_00080,CR_YT_217,2024-03-17,2024-06-15,15100000,725920,33464,4.61,635,1.9,N
CB_00131,BR_00011,CR_TK_184,2024-09-17,2024-11-16,3900000,1411,25,1.82,0,2.7,Y
CB_00132,BR_00035,CR_TK_025,2025-10-23,2025-11-22,4200000,74287,2666,3.59,61,2.29,N
CB_00133,BR_00021,CR_YT_215,2024-06-06,2024-07-06,3900000,34813,382,1.1,9,2.61,Y
CB_00134,BR_00010,CR_YT_139,2024-05-07,2024-08-05,1900000,39967,503,1.26,13,2.74,Y
CB_00135,BR_00047,CR_TK_166,2024-12-07,2025-01-06,2100000,23577,492,2.09,4,0.84,N
CB_00136,BR_00029,CR_YT_194,2024-04-17,2024-05-01,500000,3562,79,2.23,2,3.37,Y
CB_00137,BR_00063,CR_YT_049,2025-06-25,2025-07-25,16100000,23370,750,3.21,19,2.63,Y
CB_00138,BR_00007,CR_YT_088,2024-11-21,2025-01-20,1600000,144002,5342,3.71,174,3.26,Y
CB_00139,BR_00071,CR_TK_005,2025-02-16,2025-04-17,4200000,3180258,119259,3.75,3577,3.0,Y
CB_00140,BR_00085,CR_YT_065,2024-05-26,2024-07-25,20300000,1269,59,4.67,1,2.74,Y
CB_00141,BR_00048,CR_TK_063,2024-09-12,2024-12-11,2100000,14052,387,2.76,6,1.74,Y
CB_00142,BR_00060,CR_YT_258,2024-10-20,2024-11-19,700000,499464,19329,3.87,720,3.73,Y
CB_00143,BR_00030,CR_YT_157,2025-10-12,2025-10-26,1300000,417750,9399,2.25,77,0.82,N
CB_00144,BR_00011,CR_YT_040,2024-09-02,2024-09-16,1500000,718,28,3.97,0,2.44,Y
CB_00145,BR_00064,CR_TK_114,2024-01-11,2024-03-11,19600000,3763,58,1.55,1,2.24,Y
CB_00146,BR_00088,CR_TK_047,2025-06-29,2025-07-13,9000000,2348,108,4.64,3,3.11,Y
CB_00147,BR_00092,CR_YT_218,2025-07-01,2025-07-31,35200000,2036346,97744,4.8,3303,3.38,Y
CB_00148,BR_00068,CR_TK_051,2025-09-15,2025-09-29,10700000,180852,6691,3.7,240,3.59,Y
CB_00149,BR_00068,CR_TK_163,2024-08-18,2024-09-17,4600000,3596,109,3.05,4,3.83,Y
CB_00150,BR_00055,CR_YT_254,2025-01-23,2025-02-22,2800000,282792,13178,4.66,180,1.37,Y
CB_00151,BR_00070,CR_TK_136,2024-04-30,2024-05-30,7800000,43774,809,1.85,24,3.08,Y
CB_00152,BR_00073,CR_YT_202,2024-08-10,2024-09-09,9200000,2085,63,3.06,2,3.63,Y
CB_00153,BR_00060,CR_TK_157,2025-09-24,2025-11-23,200000,4179,118,2.84,1,1.54,N
CB_00154,BR_00014,CR_YT_003,2024-12-24,2025-01-23,1600000,49776,1353,2.72,16,1.19,N
CB_00155,BR_00068,CR_YT_264,2024-06-06,2024-08-05,5200000,794265,12867,1.62,360,2.8,Y
CB_00156,BR_00029,CR_YT_241,2025-02-08,2025-03-10,600000,1750651,30286,1.73,1011,3.34,Y
CB_00157,BR_00014,CR_YT_225,2025-03-25,2025-04-24,1000000,1585,16,1.02,0,3.59,Y
CB_00158,BR_00091,CR_YT_102,2024-04-23,2024-05-23,41500000,33158,888,2.68,14,1.66,Y
CB_00159,BR_00005,CR_YT_083,2024-07-22,2024-09-20,5000000,181550,2686,1.48,59,2.21,Y
CB_00160,BR_00064,CR_TK_110,2024-05-10,2024-06-09,21100000,5278,137,2.6,4,3.04,Y
CB_00161,BR_00095,CR_TK_132,2025-02-02,2025-03-04,30500000,5809,62,1.08,0,1.04,N
CB_00162,BR_00065,CR_YT_007,2024-08-30,2024-09-13,13200000,432178,21219,4.91,653,3.08,N
CB_00163,BR_00056,CR_YT_246,2024-10-23,2024-11-22,1200000,1050175,20898,1.99,215,1.03,Y
CB_00164,BR_00066,CR_YT_096,2024-09-12,2024-10-12,12300000,34496,1717,4.98,23,1.37,N
CB_00165,BR_00055,CR_YT_102,2025-04-30,2025-05-14,4100000,53388,918,1.72,36,3.97,Y
CB_00166,BR_00076,CR_TK_023,2025-10-11,2025-11-10,8900000,603617,6941,1.15,275,3.97,Y
CB_00167,BR_00019,CR_YT_219,2024-01-19,2024-04-18,1700000,40889,1030,2.52,24,2.34,N
CB_00168,BR_00090,CR_TK_025,2024-08-24,2024-09-23,14200000,68221,2073,3.04,57,2.75,Y
CB_00169,BR_00039,CR_YT_057,2024-10-02,2024-11-01,1400000,7437,198,2.67,3,1.62,Y
CB_00170,BR_00007,CR_YT_094,2024-02-11,2024-02-25,1200000,3545038,65583,1.85,1410,2.15,Y
CB_00171,BR_00078,CR_YT_052,2025-03-17,2025-04-16,11800000,589300,13789,2.34,122,0.89,N
CB_00172,BR_00086,CR_YT_007,2025-07-19,2025-08-18,13300000,644431,15788,2.45,509,3.23,Y
CB_00173,BR_00068,CR_TK_010,2025-01-15,2025-02-14,11200000,1480753,37611,2.54,1357,3.61,Y
CB_00174,BR_00017,CR_TK_023,2025-09-08,2025-09-22,200000,1440669,65406,4.54,2197,3.36,Y
CB_00175,BR_00025,CR_TK_061,2025-04-01,2025-04-15,300000,705,16,2.37,0,3.04,Y
CB_00176,BR_00098,CR_YT_104,2025-06-30,2025-07-30,22700000,365700,11702,3.2,161,1.38,N
CB_00177,BR_00098,CR_TK_137,2025-07-27,2025-08-26,73800000,13910,538,3.87,19,3.69,Y
CB_00178,BR_00009,CR_YT_248,2025-03-05,2025-06-03,1300000,1819184,19829,1.09,515,2.6,Y
CB_00179,BR_00090,CR_TK_196,2024-05-12,2024-06-11,8000000,15977,667,4.18,19,2.93,Y
CB_00180,BR_00095,CR_TK_118,2025-02-11,2025-04-12,70100000,20334,994,4.89,10,1.08,N
CB_00181,BR_00097,CR_YT_261,2025-01-28,2025-04-28,37600000,2136,44,2.09,0,1.14,N
CB_00182,BR_00021,CR_YT_293,2024-08-11,2024-11-09,3100000,180868,7524,4.16,157,2.09,Y
CB_00183,BR_00091,CR_TK_069,2025-06-21,2025-07-21,42800000,78957,3024,3.83,73,2.43,Y
CB_00184,BR_00022,CR_YT_115,2024-02-16,2024-05-16,1900000,169753,2699,1.59,96,3.59,Y
CB_00185,BR_00018,CR_YT_139,2024-02-22,2024-03-23,600000,26694,389,1.46,10,2.77,Y
CB_00186,BR_00081,CR_TK_010,2025-01-12,2025-02-11,9600000,2558602,81875,3.2,2480,3.03,Y
CB_00187,BR_00053,CR_TK_160,2025-09-18,2025-10-18,1800000,2384,101,4.26,3,3.38,Y
CB_00189,BR_00100,CR_YT_299,2024-04-18,2024-06-17,79200000,58163,2035,3.5,53,2.62,N
CB_00190,BR_00027,CR_TK_119,2025-03-28,2025-04-27,1600000,2550,89,3.52,3,3.5,Y
CB_00191,BR_00051,CR_YT_080,2025-04-01,2025-05-01,3300000,4137,65,1.59,1,2.18,Y
CB_00192,BR_00064,CR_YT_093,2025-04-15,2025-05-15,22300000,239154,7844,3.28,298,3.8,Y
CB_00193,BR_00024,CR_TK_032,2024-10-15,2024-10-29,1000000,22673,968,4.27,28,2.91,N
CB_00194,BR_00025,CR_YT_036,2024-05-26,2024-06-09,500000,5861,209,3.58,3,1.91,Y
CB_00195,BR_00093,CR_YT_270,2024-05-20,2024-06-03,55000000,114521,1236,1.08,41,3.39,Y
CB_00196,BR_00098,CR_TK_126,2025-10-21,2025-11-04,28000000,150698,3119,2.07,118,3.79,Y
CB_00197,BR_00077,CR_YT_007,2024-01-10,2024-01-24,22700000,685357,30224,4.41,241,0.8,N
CB_00198,BR_00018,CR_YT_246,2025-07-30,2025-09-28,500000,663431,19372,2.92,261,1.35,N
CB_00199,BR_00070,CR_TK_055,2024-09-30,2024-12-29,5600000,1074,15,1.41,0,1.54,N
CB_00200,BR_00066,CR_TK_154,2025-03-01,2025-03-31,3700000,7771,148,1.91,2,1.85,Y
CB_00201,BR_00046,CR_TK_036,2024-10-20,2024-11-19,3500000,7259,272,3.75,8,3.0,Y
CB_00202,BR_00015,CR_YT_252,2024-06-22,2024-07-06,1800000,29264,623,2.13,4,0.77,N
CB_00203,BR_00043,CR_YT_061,2025-01-04,2025-01-18,2200000,73585,1258,1.71,29,2.36,Y
CB_00204,BR_00077,CR_YT_093,2025-03-11,2025-04-10,31800000,428144,14985,3.5,224,1.5,N
CB_00205,BR_00014,CR_YT_139,2025-05-26,2025-06-25,2700000,50258,1934,3.85,14,0.77,N
CB_00206,BR_00001,CR_TK_142,2024-06-01,2024-07-01,800000,8356,325,3.89,10,3.25,Y
CB_00207,BR_00062,CR_TK_118,2024-03-09,2024-03-23,19800000,21689,457,2.11,3,0.82,N
CB_00208,BR_00017,CR_YT_094,2025-01-29,2025-02-28,400000,2608938,98356,3.77,1917,1.95,Y
CB_00209,BR_00082,CR_YT_171,2024-05-21,2024-06-20,13500000,29073,915,3.15,20,2.22,N
CB_00210,BR_00069,CR_TK_121,2024-08-23,2024-10-22,6700000,6017664,187149,3.11,6026,3.22,Y
CB_00211,BR_00096,CR_YT_113,2024-03-30,2024-04-29,32400000,5877,258,4.4,4,1.77,Y
CB_00212,BR_00061,CR_TK_191,2024-05-16,2024-05-30,5200000,14089,619,4.4,21,3.53,Y
CB_00213,BR_00018,CR_YT_151,2025-04-16,2025-05-16,500000,6185,292,4.73,5,1.97,N
CB_00214,BR_00027,CR_TK_124,2024-08-17,2024-08-31,2600000,764069,28881,3.78,288,1.0,N
CB_00215,BR_00094,CR_YT_014,2025-03-10,2025-04-09,31900000,107568,3582,3.33,77,2.17,Y
CB_00216,BR_00077,CR_TK_146,2024-06-10,2024-06-24,12400000,50212,994,1.98,5,0.54,N
CB_00217,BR_00054,CR_YT_077,2024-07-05,2024-09-03,1500000,557,21,3.79,0,1.55,N
CB_00218,BR_00053,CR_TK_070,2024-12-11,2025-02-09,3100000,615108,13224,2.15,138,1.05,N
CB_00219,BR_00083,CR_YT_017,2025-09-10,2025-10-10,5800000,10031,434,4.33,12,2.88,Y
CB_00220,BR_00059,CR_YT_284,2024-09-21,2024-12-20,1200000,81465,2191,2.69,23,1.05,N
CB_00222,BR_00096,CR_TK_200,2025-07-26,2025-10-24,54800000,3341,95,2.87,1,1.6,Y
CB_00223,BR_00083,CR_YT_208,2025-01-24,2025-02-23,2700000,21793,588,2.7,8,1.44,Y
CB_00224,BR_00014,CR_YT_040,2025-01-06,2025-04-06,2400000,1096,21,1.96,0,1.07,N
CB_00225,BR_00014,CR_YT_034,2024-08-04,2024-11-02,700000,73796,1291,1.75,15,1.21,N
CB_00226,BR_00005,CR_YT_124,2024-10-02,2024-10-16,5100000,6454,209,3.25,6,3.27,Y
CB_00227,BR_00006,CR_YT_025,2024-11-18,2024-12-02,4300000,210,5,2.43,0,1.49,N
CB_00228,BR_00051,CR_YT_257,2024-07-18,2024-08-17,3400000,815629,39965,4.9,1182,2.96,Y
CB_00229,BR_00013,CR_YT_170,2025-02-21,2025-05-22,1300000,3813,61,1.6,1,2.56,Y
CB_00230,BR_00049,CR_YT_245,2025-08-23,2025-09-06,1600000,831,23,2.85,0,3.6,Y
CB_00231,BR_00012,CR_TK_188,2024-08-25,2024-09-24,2200000,1495,60,4.08,0,1.06,N
CB_00232,BR_00065,CR_YT_265,2025-09-15,2025-12-14,16500000,1384,57,4.14,0,1.69,N
CB_00233,BR_00047,CR_TK_020,2025-03-17,2025-03-31,5400000,43007,1096,2.55,13,1.23,N
CB_00234,BR_00079,CR_TK_011,2024-03-17,2024-04-16,6600000,4345,60,1.39,0,0.55,N
CB_00235,BR_00099,CR_TK_146,2024-11-12,2025-02-10,93700000,104054,4765,4.58,107,2.25,Y
CB_00236,BR_00059,CR_YT_161,2024-06-22,2024-07-22,700000,1100594,26964,2.45,218,0.81,N
CB_00237,BR_00023,CR_TK_064,2025-04-16,2025-05-16,4200000,38665,1565,4.05,32,2.05,Y
CB_00238,BR_00018,CR_TK_182,2024-05-06,2024-08-04,400000,1134,24,2.15,0,1.93,N
CB_00239,BR_00080,CR_TK_170,2024-05-12,2024-07-11,18000000,2008,96,4.81,1,1.81,N
CB_00240,BR_00088,CR_YT_212,2025-06-02,2025-08-01,7300000,680571,25385,3.73,677,2.67,Y
CB_00241,BR_00083,CR_YT_030,2024-09-07,2024-12-06,2400000,39448,852,2.16,8,1.05,Y
CB_00242,BR_00052,CR_TK_138,2024-03-15,2024-04-14,2400000,17555,240,1.37,5,2.13,N
CB_00243,BR_00083,CR_YT_274,2025-04-21,2025-05-05,2900000,4948,231,4.67,8,3.73,Y
CB_00244,BR_00099,CR_YT_222,2024-07-23,2024-09-21,51700000,17109,853,4.99,18,2.2,Y
CB_00245,BR_00090,CR_TK_080,2025-05-02,2025-05-16,12900000,134448,2178,1.62,46,2.14,Y
CB_00246,BR_00082,CR_YT_110,2024-11-23,2025-02-21,6900000,2989,75,2.52,2,3.78,Y
CB_00247,BR_00047,CR_TK_105,2025-03-16,2025-05-15,2400000,64798,706,1.09,22,3.16,Y
CB_00248,BR_00055,CR_YT_139,2024-09-15,2024-10-15,1700000,21175,554,2.62,8,1.54,Y
CB_00249,BR_00092,CR_YT_232,2025-03-05,2025-06-03,33400000,1782,31,1.74,0,0.69,N
CB_00250,BR_00055,CR_YT_176,2024-10-31,2024-11-30,2100000,54406,1594,2.93,37,2.37,Y
CB_00251,BR_00021,CR_TK_195,2025-03-23,2025-04-22,3700000,2238,96,4.29,2,2.46,Y
CB_00252,BR_00077,CR_YT_102,2024-03-20,2024-06-18,24600000,43587,2157,4.95,81,3.79,Y
CB_00253,BR_00096,CR_TK_123,2024-11-20,2024-12-04,22600000,810939,12893,1.59,455,3.53,Y
