Brand_ID,Creator_ID,category_score,context_score,cf_score,matching_score,recommendation_grade
BR_00001,CR_TK_034,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_035,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_042,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_052,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_055,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_063,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_064,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_077,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_078,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_079,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_081,1.0,0.5,0.72,0.738,C
BR_00001,CR_TK_084,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_087,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_088,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_089,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_091,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_107,1.0,0.75,1.0,0.925,A
BR_00001,CR_TK_115,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_125,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_135,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_136,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_150,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_155,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_156,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_162,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_170,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_173,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_183,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_184,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_190,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_003,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_007,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_012,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_020,0.5,1.0,0.0,0.75,C
BR_00002,CR_YT_022,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_031,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_032,0.5,0.75,0.78,0.687,D
BR_00002,CR_YT_033,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_040,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_041,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_042,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_045,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_046,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_047,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_048,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_049,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_051,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_054,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_058,1.0,0.5,0.78,0.762,C
BR_00002,CR_YT_060,1.0,0.75,0.7,0.805,B
BR_00002,CR_YT_061,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_062,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_067,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_068,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_070,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_071,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_073,1.0,0.75,0.76,0.829,B
BR_00002,CR_YT_075,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_079,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_085,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_088,1.0,1.0,0.84,0.936,A
BR_00002,CR_YT_091,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_099,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_102,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_111,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_115,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_120,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_122,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_123,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_125,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_126,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_129,0.5,0.5,0.0,0.5,D
BR_00002,CR_YT_130,0.5,1.0,0.0,0.75,C
BR_00002,CR_YT_133,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_135,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_136,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_138,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_146,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_148,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_158,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_162,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_163,1.0,0.5,0.62,0.698,D
BR_00002,CR_YT_167,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_171,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_179,1.0,0.5,0.64,0.706,C
BR_00002,CR_YT_183,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_184,0.5,0.75,1.0,0.775,C
BR_00002,CR_YT_186,1.0,0.75,0.72,0.813,B
BR_00002,CR_YT_193,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_203,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_212,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_214,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_217,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_221,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_223,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_226,1.0,0.5,0.6923,0.7269,C
BR_00002,CR_YT_228,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_230,1.0,0.75,0.96,0.909,A
BR_00002,CR_YT_231,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_237,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_243,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_244,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_245,1.0,1.0,0.0,1.0,A
BR_00002,CR_YT_258,0.5,0.5,0.0,0.5,D
BR_00002,CR_YT_260,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_270,0.5,1.0,0.0,0.75,C
BR_00002,CR_YT_273,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_276,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_281,1.0,0.75,0.0,0.875,B
BR_00002,CR_YT_283,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_288,1.0,0.5,0.0,0.75,C
BR_00002,CR_YT_299,0.5,0.75,0.0,0.625,D
BR_00002,CR_YT_300,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_006,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_011,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_015,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_016,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_018,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_020,1.0,0.75,0.78,0.837,B
BR_00002,CR_TK_021,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_022,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_023,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_026,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_027,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_028,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_032,0.5,1.0,0.78,0.762,C
BR_00002,CR_TK_034,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_041,0.5,1.0,0.0,0.75,C
BR_00002,CR_TK_042,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_045,0.5,1.0,0.0,0.75,C
BR_00002,CR_TK_046,0.5,1.0,0.0,0.75,C
BR_00002,CR_TK_051,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_055,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_057,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_058,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_061,1.0,1.0,0.9,0.96,A
BR_00002,CR_TK_063,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_074,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_076,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_077,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_078,1.0,0.5,0.8,0.77,C
BR_00002,CR_TK_081,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_084,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_086,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_087,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_088,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_091,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_108,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_118,0.5,0.75,0.66,0.639,D
BR_00002,CR_TK_120,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_128,0.5,1.0,0.0,0.75,C
BR_00002,CR_TK_134,0.5,1.0,0.0,0.75,C
BR_00002,CR_TK_140,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_142,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_146,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_150,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_152,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_156,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_159,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_161,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_162,1.0,0.5,0.0,0.75,C
BR_00002,CR_TK_165,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_166,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_171,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_175,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_179,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_191,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_192,1.0,1.0,0.0,1.0,A
BR_00002,CR_TK_196,1.0,0.75,0.0,0.875,B
BR_00002,CR_TK_197,0.5,0.75,0.0,0.625,D
BR_00002,CR_TK_199,0.5,1.0,0.0,0.75,C
BR_00003,CR_YT_002,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_004,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_034,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_038,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_055,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_063,1.0,0.75,0.64,0.781,C
BR_00003,CR_YT_078,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_093,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_095,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_117,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_121,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_128,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_141,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_142,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_143,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_149,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_150,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_154,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_169,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_178,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_185,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_194,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_253,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_266,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_267,1.0,0.75,0.0,0.875,B
BR_00003,CR_YT_290,1.0,1.0,0.0,1.0,A
BR_00003,CR_YT_296,1.0,0.75,0.0,0.875,B
BR_00003,CR_TK_019,1.0,1.0,0.7,0.88,B
BR_00003,CR_TK_025,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_038,1.0,1.0,0.76,0.904,A
BR_00003,CR_TK_040,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_053,1.0,1.0,0.7,0.88,B
BR_00003,CR_TK_060,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_067,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_073,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_080,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_095,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_102,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_106,1.0,1.0,0.72,0.888,B
BR_00003,CR_TK_109,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_117,1.0,0.75,0.0,0.875,B
BR_00003,CR_TK_126,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_127,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_139,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_143,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_147,1.0,0.75,0.0,0.875,B
BR_00003,CR_TK_151,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_164,1.0,1.0,0.0,1.0,A
BR_00003,CR_TK_180,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_003,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_005,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_006,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_009,1.0,0.25,0.0,0.625,D
BR_00004,CR_YT_010,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_015,1.0,0.75,0.86,0.869,B
BR_00004,CR_YT_023,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_029,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_031,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_036,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_039,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_040,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_048,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_057,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_058,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_060,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_062,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_068,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_073,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_077,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_079,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_090,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_091,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_092,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_099,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_102,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_107,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_108,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_110,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_118,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_123,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_127,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_133,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_136,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_137,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_139,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_148,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_151,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_157,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_158,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_163,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_170,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_179,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_187,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_189,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_203,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_207,1.0,0.75,1.0,0.925,A
BR_00004,CR_YT_208,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_210,1.0,0.75,0.96,0.909,A
BR_00004,CR_YT_215,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_216,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_217,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_223,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_226,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_234,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_237,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_243,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_256,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_257,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_260,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_264,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_269,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_273,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_274,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_275,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_276,1.0,0.75,0.9,0.885,B
BR_00004,CR_YT_283,1.0,0.5,0.0,0.75,C
BR_00004,CR_YT_288,1.0,0.75,0.0,0.875,B
BR_00004,CR_YT_297,1.0,0.5,0.5,0.65,D
BR_00004,CR_YT_300,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_001,1.0,0.5,0.82,0.778,C
BR_00004,CR_TK_009,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_016,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_022,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_024,1.0,0.75,0.88,0.877,B
BR_00004,CR_TK_027,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_028,1.0,0.5,0.86,0.794,C
BR_00004,CR_TK_034,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_035,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_042,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_052,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_055,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_063,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_064,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_077,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_078,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_079,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_081,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_084,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_087,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_088,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_089,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_091,1.0,0.75,0.9,0.885,B
BR_00004,CR_TK_107,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_115,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_125,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_135,1.0,0.75,0.0,0.875,B
BR_00004,CR_TK_136,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_150,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_155,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_156,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_162,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_170,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_173,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_183,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_184,1.0,0.5,0.0,0.75,C
BR_00004,CR_TK_190,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_003,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_005,1.0,0.5,0.58,0.682,D
BR_00005,CR_YT_006,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_009,1.0,0.5,0.62,0.698,D
BR_00005,CR_YT_010,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_015,1.0,0.75,0.86,0.869,B
BR_00005,CR_YT_023,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_029,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_031,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_036,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_039,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_040,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_048,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_057,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_058,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_060,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_062,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_068,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_073,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_077,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_079,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_090,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_091,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_092,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_099,1.0,0.5,0.0,0.75,C
BR_00005,CR_YT_102,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_107,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_108,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_110,1.0,0.75,0.0,0.875,B
BR_00005,CR_YT_118,1.0,0.5,0.0,0.75,C
