Creator_ID,Channel_Name,Handle,Platform,Category,Content_Type,Country,Followers,Avg_Views,Monthly_Views,Engagement_Rate,Nox_Score,Target_Age,Target_Gender,Estimated_CPM,Upload_Per_Month,Views_Trend_6M,Last_Upload_Date,Controversy_Flag,Ad_Content_Ratio,Risk_Score,Creator_Tier,Collab_Type_Pref,Created_At
CR_YT_043,레시피북043,@yt_레시피북043,YouTube,테크,비교영상,Korea,647091,500916,4007328,7.58,4.8,25-44,Male,7300.0,15,유지,2026-05-07,없음,22,4.7,마이크로,언박싱리뷰,2025-05-23
CR_YT_044,피트니스코치044,@yt_피트니스코치044,YouTube,푸드,맛집투어,Korea,4995,3061,30610,4.37,3.5,18-34,Mixed,3900.0,16,상승,2026-01-30,없음,26,4.7,나노,먹방협찬,2025-05-23
CR_YT_045,테크몽045,@yt_테크몽045,YouTube,패션,OOTD,Korea,4976462,961911,6733377,8.78,3.5,18-34,Female,7200.0,23,유지,2026-04-15,없음,33,4.4,매크로,PPL,2025-05-23
CR_YT_046,패션피플046,@yt_패션피플046,YouTube,패션,코디추천,Korea,41890,11714,105426,5.94,3.6,18-34,Female,4700.0,24,유지,2026-01-24,없음,34,4.4,마이크로,OOTD협찬,2025-05-23
CR_YT_047,패션피플047,@yt_패션피플047,YouTube,패션,코디추천,Korea,301939,86554,1038648,11.44,4.1,18-34,Female,2900.0,24,유지,2026-01-10,없음,38,3.9,마이크로,PPL,2025-05-23
CR_YT_048,교육튜터048,@yt_교육튜터048,YouTube,라이프스타일,일상브이로그,Korea,288158,79733,956796,1.96,2.1,25-44,Female,1900.0,10,하락,2025-12-03,없음,11,3.8,마이크로,제품리뷰,2025-05-23
CR_YT_049,쿡방장인049,@yt_쿡방장인049,YouTube,패션,OOTD,Korea,54657,10290,41160,3.4,4.6,18-34,Female,2400.0,3,유지,2026-03-06,없음,41,3.4,마이크로,PPL,2025-05-23
CR_YT_050,홈투어050,@yt_홈투어050,YouTube,테크,팁강의,Korea,2395,1905,9525,6.92,3.2,25-44,Male,6000.0,20,상승,2026-05-18,확인필요,29,3.2,나노,제품리뷰,2025-05-23
CR_YT_051,홈투어051,@yt_홈투어051,YouTube,패션,하울,Korea,6003,2860,11440,7.51,4.2,18-34,Female,8600.0,7,하락,2025-12-25,없음,10,3.8,나노,PPL,2025-05-23
CR_YT_052,테크몽052,@yt_테크몽052,YouTube,테크,언박싱,Korea,1011222,360387,3964257,3.85,2.7,25-44,Male,6800.0,23,유지,2025-11-19,없음,21,4.7,매크로,제품리뷰,2025-05-23
CR_YT_053,테크몽053,@yt_테크몽053,YouTube,푸드,쿡방,Korea,256226,187380,1124280,1.32,2.5,18-34,Mixed,3800.0,24,유지,2026-01-13,없음,12,4.7,마이크로,먹방협찬,2025-05-23
CR_YT_054,GRWM크리에이터054,@yt_grwm크리에이터054,YouTube,패션,하울,Korea,9199,4185,46035,1.43,2.1,18-34,Female,4700.0,11,유지,2026-01-04,없음,10,4.7,나노,하울,2025-05-23
CR_YT_055,홈투어055,@yt_홈투어055,YouTube,교육,자격증,Korea,5415,2611,15666,5.91,4.0,25-44,Mixed,8400.0,6,유지,2026-02-20,없음,10,4.7,나노,브랜디드,2025-05-23
CR_YT_056,라이프브이로거056,@yt_라이프브이로거056,YouTube,엔터테인먼트,커버댄스,Korea,209680,145371,1308339,5.23,3.5,13-24,Mixed,6500.0,13,유지,2025-11-10,없음,10,4.7,마이크로,챌린지,2025-05-23
CR_YT_057,홈쿡057,@yt_홈쿡057,YouTube,피트니스,영양,Korea,7622,5325,21300,8.06,3.6,18-34,Mixed,4600.0,7,유지,2026-02-01,없음,36,3.9,나노,챌린지,2025-05-23
CR_YT_058,피트니스코치058,@yt_피트니스코치058,YouTube,라이프스타일,일상브이로그,Korea,47752,18078,198858,1.9,4.9,25-44,Female,6100.0,8,하락,2025-12-11,없음,40,3.0,마이크로,제품리뷰,2025-05-23
CR_YT_059,테크리뷰059,@yt_테크리뷰059,YouTube,엔터테인먼트,개그,Korea,982277,721676,7938436,11.39,3.9,13-24,Mixed,2700.0,23,상승,2026-03-11,없음,31,4.7,마이크로,챌린지,2025-05-23
CR_YT_060,IT리뷰어060,@yt_it리뷰어060,YouTube,라이프스타일,일상브이로그,Korea,60277,11630,139560,9.08,2.4,25-44,Female,2000.0,25,유지,2026-01-27,확인필요,22,3.2,마이크로,브랜디드,2025-05-23
CR_YT_061,홈투어061,@yt_홈투어061,YouTube,패션,하울,Korea,96499,40262,241572,5.64,3.5,18-34,Female,4000.0,25,유지,2026-02-05,없음,25,4.7,마이크로,하울,2025-05-23
CR_YT_062,홈투어062,@yt_홈투어062,YouTube,라이프스타일,홈투어,Korea,63841,5281,58091,8.61,4.4,25-44,Female,4400.0,22,하락,2025-12-09,없음,7,3.8,마이크로,제품리뷰,2025-05-23
CR_YT_063,라이프브이로거063,@yt_라이프브이로거063,YouTube,교육,자격증,Korea,8213,1024,11264,0.68,2.4,25-44,Mixed,8000.0,5,상승,2026-03-01,없음,26,4.7,나노,PPL,2025-05-23
CR_YT_064,라이프브이로거064,@yt_라이프브이로거064,YouTube,푸드,맛집투어,Korea,9742,3263,29367,7.71,4.7,18-34,Mixed,5200.0,18,상승,2026-04-08,없음,20,5.0,나노,제품리뷰,2025-05-23
CR_YT_065,레시피북065,@yt_레시피북065,YouTube,푸드,레시피,Korea,2646,1012,8096,10.89,2.1,18-34,Mixed,7500.0,10,상승,2026-02-04,없음,14,5.0,나노,먹방협찬,2025-05-23
CR_YT_066,홈투어066,@yt_홈투어066,YouTube,엔터테인먼트,커버댄스,Korea,33600,5963,29815,7.51,3.1,13-24,Mixed,6600.0,16,유지,2025-12-07,없음,34,4.4,마이크로,챌린지,2025-05-23
CR_YT_067,뷰티퀸067,@yt_뷰티퀸067,YouTube,패션,PPL,Korea,8622,6258,75096,2.32,3.3,18-34,Female,4100.0,19,상승,2026-04-13,없음,21,5.0,나노,OOTD협찬,2025-05-23
CR_YT_068,GRWM크리에이터068,@yt_grwm크리에이터068,YouTube,라이프스타일,일상브이로그,Korea,2747,626,5634,7.11,5.0,25-44,Female,3700.0,22,유지,2026-01-10,없음,41,3.9,나노,제품리뷰,2025-05-23
CR_YT_069,교육튜터069,@yt_교육튜터069,YouTube,여행,브이로그,Korea,4770,2410,21690,3.02,2.6,25-44,Mixed,3400.0,25,하락,2026-05-16,없음,45,3.0,나노,브랜디드,2025-05-23
CR_YT_070,교육튜터070,@yt_교육튜터070,YouTube,뷰티,리뷰,Korea,1546,749,4494,1.54,2.9,18-34,Female,7100.0,6,상승,2025-12-04,없음,28,4.7,나노,GRWM협찬,2025-05-23
CR_YT_071,쿡방장인071,@yt_쿡방장인071,YouTube,패션,코디추천,Korea,5835,3558,32022,9.75,3.4,18-34,Female,2100.0,25,상승,2026-04-23,없음,40,4.2,나노,PPL,2025-05-23
CR_YT_072,뷰티퀸072,@yt_뷰티퀸072,YouTube,엔터테인먼트,커버댄스,Korea,229592,89791,718328,7.22,4.5,13-24,Mixed,8600.0,4,하락,2025-12-30,없음,6,3.8,마이크로,브랜디드,2025-05-23
CR_YT_073,테크리뷰073,@yt_테크리뷰073,YouTube,라이프스타일,홈투어,Korea,70852,51866,414928,7.97,2.4,25-44,Female,1800.0,2,상승,2026-03-07,없음,11,4.5,마이크로,제품리뷰,2025-05-23
CR_YT_075,언박서075,@yt_언박서075,YouTube,뷰티,GRWM,Korea,566297,432037,3888333,1.64,4.1,18-34,Female,5600.0,21,상승,2025-11-16,없음,22,5.0,마이크로,GRWM협찬,2025-05-23
CR_YT_076,테크리뷰076,@yt_테크리뷰076,YouTube,여행,명소소개,Korea,94109,49841,199364,1.08,3.0,25-44,Mixed,8900.0,19,상승,2025-11-18,없음,18,5.0,마이크로,협찬리뷰,2025-05-23
CR_YT_077,댄스스타077,@yt_댄스스타077,YouTube,피트니스,다이어트,Korea,1046,269,1614,11.86,3.6,18-34,Mixed,7500.0,4,하락,2025-11-07,없음,5,3.8,나노,챌린지,2025-05-23
CR_YT_078,라이프브이로거078,@yt_라이프브이로거078,YouTube,교육,자격증,Korea,2113032,188692,1886920,6.55,4.2,25-44,Mixed,5100.0,25,상승,2026-03-12,없음,11,5.0,매크로,PPL,2025-05-23
CR_YT_079,맛집탐방가079,@yt_맛집탐방가079,YouTube,라이프스타일,미니멀,Korea,4285092,3134818,37617816,3.97,3.9,25-44,Female,1700.0,16,유지,2026-02-18,없음,36,3.9,매크로,일상PPL,2025-05-23
CR_YT_080,라이프브이로거080,@yt_라이프브이로거080,YouTube,푸드,먹방,Korea,18609,2691,32292,8.69,3.1,18-34,Mixed,6000.0,10,유지,2026-03-10,없음,32,4.4,마이크로,먹방협찬,2025-05-23
CR_YT_081,테크몽081,@yt_테크몽081,YouTube,푸드,맛집투어,Korea,38183,14225,99575,5.26,4.5,18-34,Mixed,4500.0,24,상승,2026-01-20,없음,25,5.0,마이크로,레시피협찬,2025-05-23
CR_YT_082,쿡방장인082,@yt_쿡방장인082,YouTube,테크,비교영상,Korea,4488704,511816,5118160,1.61,4.2,25-44,Male,7600.0,18,상승,2026-03-31,없음,40,4.2,매크로,브랜디드,2025-05-23
CR_YT_083,레시피북083,@yt_레시피북083,YouTube,푸드,레시피,Korea,97207,73473,734730,10.48,4.2,18-34,Mixed,8800.0,20,상승,2026-01-30,없음,41,4.2,마이크로,제품리뷰,2025-05-23
CR_YT_084,패션피플084,@yt_패션피플084,YouTube,여행,브이로그,Korea,6736,4607,41463,1.82,2.8,25-44,Mixed,3200.0,14,유지,2026-05-16,없음,44,3.9,나노,브랜디드,2025-05-23
CR_YT_085,뷰티퀸085,@yt_뷰티퀸085,YouTube,패션,OOTD,Korea,836833,520348,4683132,4.54,2.5,18-34,Female,2600.0,22,유지,2025-11-18,없음,45,3.9,마이크로,PPL,2025-05-23
CR_YT_086,여행러086,@yt_여행러086,YouTube,게임,공략,Korea,69460,21231,191079,4.08,3.0,13-24,Male,8600.0,20,상승,2025-11-14,없음,15,5.0,마이크로,브랜디드,2025-05-23
CR_YT_087,피트니스코치087,@yt_피트니스코치087,YouTube,푸드,쿡방,Korea,65576,27164,298804,5.26,2.6,18-34,Mixed,5300.0,12,유지,2025-11-29,없음,42,3.9,마이크로,먹방협찬,2025-05-23
CR_YT_088,먹방킹088,@yt_먹방킹088,YouTube,패션,PPL,Korea,728437,66350,464450,3.97,2.6,18-34,Female,2500.0,9,상승,2026-01-23,없음,5,5.0,마이크로,하울,2025-05-23
CR_YT_089,게임마스터089,@yt_게임마스터089,YouTube,엔터테인먼트,개그,Korea,658453,380423,4565076,6.93,4.0,13-24,Mixed,4200.0,13,하락,2025-11-11,없음,6,3.8,마이크로,PPL,2025-05-23
CR_YT_090,홈투어090,@yt_홈투어090,YouTube,피트니스,영양,Korea,63008,36678,366780,3.83,3.2,18-34,Mixed,8700.0,6,유지,2026-02-26,없음,10,4.7,마이크로,챌린지,2025-05-23
CR_YT_091,레시피북091,@yt_레시피북091,YouTube,라이프스타일,홈투어,Korea,78676,8574,68592,9.08,2.7,25-44,Female,7300.0,3,유지,2026-04-12,없음,38,3.4,마이크로,브랜디드,2025-05-23
CR_YT_092,댄스스타092,@yt_댄스스타092,YouTube,피트니스,영양,Korea,253557,61354,368124,7.43,4.3,18-34,Mixed,6400.0,6,하락,2026-03-07,없음,41,3.0,마이크로,PPL,2025-05-23
CR_YT_093,맛집탐방가093,@yt_맛집탐방가093,YouTube,교육,강의,Korea,757685,217534,2392874,1.29,3.3,25-44,Mixed,3800.0,9,유지,2025-11-15,없음,37,3.9,마이크로,브랜디드,2025-05-23
CR_YT_094,IT리뷰어094,@yt_it리뷰어094,YouTube,여행,브이로그,Korea,2546597,1715826,8579130,7.91,4.9,25-44,Mixed,2200.0,20,유지,2026-02-07,없음,42,3.9,매크로,PPL,2025-05-23
CR_YT_095,여행러095,@yt_여행러095,YouTube,교육,요약,Korea,598733,255075,1020300,5.68,4.4,25-44,Mixed,7800.0,23,상승,2026-03-10,없음,7,5.0,마이크로,PPL,2025-05-23
CR_YT_096,IT리뷰어096,@yt_it리뷰어096,YouTube,여행,여행팁,Korea,89928,15203,136827,11.06,3.2,25-44,Mixed,7300.0,22,유지,2025-11-14,없음,9,4.7,마이크로,협찬리뷰,2025-05-23
CR_YT_097,GRWM크리에이터097,@yt_grwm크리에이터097,YouTube,게임,공략,Korea,858889,591495,3548970,4.33,3.7,13-24,Male,2600.0,12,상승,2026-04-17,없음,13,5.0,마이크로,PPL,2025-05-23
CR_YT_098,GRWM크리에이터098,@yt_grwm크리에이터098,YouTube,게임,스트리밍,Korea,53054,35009,420108,1.57,4.0,13-24,Male,5300.0,1,상승,2026-01-19,없음,18,4.0,마이크로,PPL,2025-05-23
CR_YT_099,패션피플099,@yt_패션피플099,YouTube,라이프스타일,홈투어,Korea,3538,381,1905,6.34,3.6,25-44,Female,7000.0,17,상승,2026-04-19,없음,44,4.2,나노,제품리뷰,2025-05-23
CR_YT_100,댄스스타100,@yt_댄스스타100,YouTube,엔터테인먼트,개그,Korea,971728,553529,3321174,8.79,2.1,13-24,Mixed,4200.0,24,상승,2026-02-22,없음,23,5.0,마이크로,PPL,2025-05-23
CR_YT_101,패션피플101,@yt_패션피플101,YouTube,게임,업적,Korea,947903,605025,4235175,4.73,4.8,13-24,Male,8900.0,15,상승,2026-05-19,없음,37,4.2,마이크로,제품리뷰,2025-05-23
CR_YT_102,맛집탐방가102,@yt_맛집탐방가102,YouTube,라이프스타일,인테리어,Korea,362147,32279,355069,10.55,3.7,25-44,Female,2300.0,17,상승,2026-01-12,없음,15,5.0,마이크로,브랜디드,2025-05-23
CR_YT_103,댄스스타103,@yt_댄스스타103,YouTube,게임,리뷰,Korea,2502,1901,13307,9.89,4.7,13-24,Male,8500.0,14,상승,2026-02-10,확인필요,28,3.2,나노,PPL,2025-05-23
CR_YT_104,언박서104,@yt_언박서104,YouTube,푸드,먹방,Korea,434165,324807,2923263,9.6,2.4,18-34,Mixed,3700.0,16,하락,2025-12-06,없음,33,3.5,마이크로,제품리뷰,2025-05-23
CR_YT_106,쿡방장인106,@yt_쿡방장인106,YouTube,푸드,먹방,Korea,12154,6368,44576,8.76,2.9,18-34,Mixed,1500.0,12,상승,2026-03-27,없음,16,5.0,마이크로,먹방협찬,2025-05-23
CR_YT_107,테크리뷰107,@yt_테크리뷰107,YouTube,피트니스,다이어트,Korea,9914,4267,51204,6.87,3.2,18-34,Mixed,5000.0,21,유지,2026-02-04,없음,6,4.7,나노,챌린지,2025-05-23
CR_YT_108,패션피플108,@yt_패션피플108,YouTube,피트니스,운동루틴,Korea,92346,11797,106173,2.03,3.1,18-34,Mixed,4000.0,21,상승,2026-05-19,없음,35,4.7,마이크로,챌린지,2025-05-23
CR_YT_109,IT리뷰어109,@yt_it리뷰어109,YouTube,푸드,레시피,Korea,1845533,152911,1070377,10.69,2.9,18-34,Mixed,3800.0,13,유지,2026-03-02,없음,7,4.7,매크로,레시피협찬,2025-05-23
CR_YT_110,먹방킹110,@yt_먹방킹110,YouTube,피트니스,다이어트,Korea,6438,1641,14769,5.52,3.2,18-34,Mixed,4800.0,13,상승,2025-12-18,없음,36,4.2,나노,PPL,2025-05-23
CR_YT_111,테크리뷰111,@yt_테크리뷰111,YouTube,패션,PPL,Korea,20345,7587,45522,6.77,3.0,18-34,Female,2100.0,22,상승,2026-01-18,없음,43,4.2,마이크로,PPL,2025-05-23
CR_YT_112,언박서112,@yt_언박서112,YouTube,여행,명소소개,Korea,56210,28731,287310,3.66,4.9,25-44,Mixed,8600.0,3,하락,2026-04-13,없음,28,3.0,마이크로,협찬리뷰,2025-05-23
CR_YT_113,맛집탐방가113,@yt_맛집탐방가113,YouTube,테크,비교영상,Korea,67432,5131,25655,3.21,3.9,25-44,Male,4200.0,19,상승,2026-04-04,없음,33,4.7,마이크로,제품리뷰,2025-05-23
CR_YT_114,테크리뷰114,@yt_테크리뷰114,YouTube,여행,브이로그,Korea,79397,25820,232380,7.97,2.7,25-44,Mixed,2400.0,24,상승,2026-03-08,확인필요,29,3.2,마이크로,PPL,2025-05-23
CR_YT_115,IT리뷰어115,@yt_it리뷰어115,YouTube,패션,코디추천,Korea,741599,195917,2155087,2.8,2.4,18-34,Female,2100.0,6,하락,2026-02-22,없음,25,3.8,마이크로,하울,2025-05-23
CR_YT_117,언박서117,@yt_언박서117,YouTube,교육,강의,Korea,82305,12125,60625,1.26,3.2,25-44,Mixed,6900.0,16,유지,2026-02-14,없음,41,3.9,마이크로,제품리뷰,2025-05-23
CR_YT_118,테크리뷰118,@yt_테크리뷰118,YouTube,피트니스,홈트,Korea,99143,43426,260556,10.6,4.3,18-34,Mixed,6300.0,6,상승,2026-02-19,확인필요,8,3.5,마이크로,PPL,2025-05-23
CR_YT_119,교육튜터119,@yt_교육튜터119,YouTube,테크,언박싱,Korea,438334,329212,2304484,4.48,4.8,25-44,Male,8200.0,3,상승,2025-12-21,없음,22,4.5,마이크로,브랜디드,2025-05-23
CR_YT_120,맛집탐방가120,@yt_맛집탐방가120,YouTube,패션,OOTD,Korea,75873,40268,241608,2.47,3.9,18-34,Female,8300.0,11,유지,2025-11-11,없음,10,4.7,마이크로,하울,2025-05-23
CR_YT_121,피트니스코치121,@yt_피트니스코치121,YouTube,교육,자격증,Korea,84991,30804,123216,6.23,3.9,25-44,Mixed,3700.0,10,유지,2026-01-02,없음,24,4.7,마이크로,제품리뷰,2025-05-23
CR_YT_122,게임마스터122,@yt_게임마스터122,YouTube,뷰티,튜토리얼,Korea,73471,29265,263385,7.48,2.9,18-34,Female,6900.0,24,상승,2026-02-11,없음,28,4.7,마이크로,튜토리얼리뷰,2025-05-23
CR_YT_123,IT리뷰어123,@yt_it리뷰어123,YouTube,라이프스타일,인테리어,Korea,571435,134823,674115,1.08,4.8,25-44,Female,8000.0,14,상승,2025-12-11,없음,41,4.2,마이크로,일상PPL,2025-05-23
CR_YT_124,쿡방장인124,@yt_쿡방장인124,YouTube,테크,리뷰,Korea,8648,3667,29336,0.0,2.3,25-44,Male,4400.0,15,상승,2025-12-26,없음,27,4.7,나노,언박싱리뷰,2025-05-23
